City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp (F),Wind Speed
butaritari,29,KI,1635628319,72,3.0707,172.7902,82.44,6.11
bluff,93,NZ,1635628319,85,-46.6,168.3333,52.92,22.17
busselton,92,AU,1635628047,90,-33.65,115.3333,43.05,5.73
vaini,9,TO,1635628320,77,-21.2,-175.2,75.22,16.24
tynda,26,RU,1635628320,64,55.1667,124.7167,17.04,2.24
hilo,1,US,1635628051,73,19.7297,-155.09,80.33,8.05
punta arenas,0,CL,1635628316,40,-53.15,-70.9167,53.71,17.27
den helder,90,NL,1635628321,83,52.9599,4.7593,55.38,10.0
leningradskiy,99,RU,1635628321,96,69.3833,178.4167,-1.48,6.33
mahina,75,PF,1635628322,61,-17.5065,-149.489,82.17,8.05
rikitea,73,PF,1635628323,85,-23.1203,-134.9692,75.02,21.88
puerto ayora,94,EC,1635628069,81,-0.7393,-90.3518,78.76,9.22
alihe,0,CN,1635628323,50,50.5667,123.7167,25.02,1.66
mataura,100,NZ,1635628323,57,-46.1927,168.8643,57.43,12.01
bredasdorp,67,ZA,1635628324,96,-34.5322,20.0403,58.28,4.09
ornskoldsvik,90,SE,1635628324,100,63.2909,18.7153,43.75,6.91
kapaa,20,US,1635628324,84,22.0752,-159.319,82.47,1.99
springbok,5,ZA,1635628325,29,-29.6643,17.8865,68.07,4.92
payakumbuh,97,ID,1635628325,97,-0.2202,100.6308,70.47,2.1
bethel,75,US,1635628177,90,41.3712,-73.414,60.37,4.61
kagalnitskaya,0,RU,1635628325,71,46.8806,40.1466,43.25,8.77
hobart,75,AU,1635628326,62,-42.8794,147.3294,56.26,4.0
semibratovo,43,RU,1635628326,93,57.3046,39.5369,44.46,9.15
moline,75,US,1635628326,67,41.5067,-90.5151,61.25,6.91
ushuaia,0,AR,1635628285,46,-54.8,-68.3,51.46,19.57
dongning,83,CN,1635628327,68,44.0622,131.1207,40.5,0.36
ahipara,100,NZ,1635628327,89,-35.1667,173.1667,62.13,8.01
pianco,63,BR,1635628256,22,-7.1981,-37.9292,93.63,8.68
faya,0,SA,1635628327,44,18.3851,42.4509,59.52,7.02
wichita falls,1,US,1635628328,23,33.9137,-98.4934,78.26,5.99
